case,household_size,gas_electric_included,gas_method,duel_method,elec_method,heat_electric,heat_gas,heat_oil,heat_solid,heat_solidoil,heat_calor,heat_other,rent_net,rent_service,council_tax,water_charge,sewage_charge,housing_insurance,education_expense,telephone_exp,mobile_exp,comms_expenses,gas_expenses,elec_expenses,duel_energy,tv_a_exp,vehicle_road_tax,vehicle_insurance,internet_wk,insurance_exp,furniture,holiday_UK,cruise_UK,holiday_outside,cruise_outside,domestic_flights,int_flight,gas_meter,duel_prepayment,gas_payment,ctsproxy,council_water,housing_expenses,food_exp,tobacco_exp,alcohol_exp,transport_costs,clothing_exp,total_exp,coffee_exp,tea_exp,sausage_exp,cakes_exp,petrol_exp,tp_exp,jewelry_exp,cosmetics_exp,elec_slot_payment,c45212t,railway_exp,pet_food,pet_acc,gas_slot_payment,gas_bottle_slot,p116t,food_expenses,alcohol_expenses,gross_income,gross_normal,disposable_income,taxes,p515p
53,2,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.04769230769231,NA,4.744038461538461,5.291,NA,NA,NA,15.46,NA,27.69,NA,3.06,2.94,5.77,NA,NA,NA,NA,NA,NA,NA,46.15,NA,NA,NA,NA,164.46,141.66,56.222855871400206,113.68,NA,NA,55.9,18.725,394.74185587140016,NA,NA,1.55,NA,9.75,1.425,NA,40.425,NA,NA,NA,NA,NA,NA,NA,NA,113.68,NA,975.9332307692307,975.9332307692307,869.6532307692307,106.28,56.222855871400206
54,4,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,32.83394230769231,NA,5.798269230769231,1.7215,NA,NA,18.14,7.52,NA,27.69,NA,3.06,6.19,15.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.46,141.66,166.80529893648875,187.315,NA,42.595,125.77132762201866,25.345,735.2851265585074,NA,NA,5.84,3.08,NA,2.645,NA,NA,NA,NA,NA,15.795,8,NA,NA,NA,175.775,42.595,2143.69,2143.69,1768.59,297.8,166.80529893648875
55,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,39.85384615384615,10.98,NA,3.2505,NA,NA,16.73,15.12,NA,NA,52.55,3.06,5.38,15.76,NA,NA,NA,NA,NA,18.46,NA,NA,NA,NA,NA,NA,NA,NA,142.97026444725864,126.58,NA,26.67,169.0503069466882,8.845,625.4000713939469,NA,NA,3.695,1.245,NA,3.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.58,26.67,934.91,934.91,907.92,16.54,142.97026444725864
56,2,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,31.770576923076923,5.08,NA,NA,NA,NA,14.31,NA,NA,19.16,NA,3.06,5.77,17.11,4.85,NA,NA,NA,NA,NA,NA,NA,3.46,NA,NA,NA,NA,NA,53.943074683749025,96.89,NA,2.45,181.66,5.035,405.353074683749,3,NA,NA,0.975,22.63,NA,NA,NA,NA,NA,10.95,3.55,NA,NA,NA,NA,96.89,2.45,1211.63,1211.63,939.3,150.01,53.943074683749025
57,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,18.785769230769233,NA,4.744038461538461,NA,NA,NA,2.88,18.46,NA,NA,31.16,3.06,4.82,8.85,NA,NA,NA,NA,NA,153.85,NA,NA,NA,NA,NA,NA,164.46,141.66,46.19660358643656,44.05,NA,5.365,32.81,NA,471.7666035864366,NA,NA,NA,0.425,32.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.05,5.365,824.7881538461539,824.7881538461539,697.8581538461539,126.93,46.19660358643656
58,6,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,29.796634615384615,23.08,NA,NA,NA,NA,13.28,NA,NA,NA,57.7,3.06,NA,NA,8.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.47763302806616,221.345,NA,NA,NA,2.51,401.5326330280662,NA,NA,2.39,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221.345,NA,693.682,693.682,693.682,NA,43.47763302806616
59,2,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,450.03,NA,14.86025641025641,12.7,NA,NA,NA,NA,11.97,NA,14.51,18.07,NA,3.06,NA,7.31,5.82,NA,NA,NA,NA,230.77,NA,NA,48.85,NA,NA,14.51,NA,NA,477.4653352243424,60.555,NA,10.5,52.7,4.125,872.7753352243424,NA,1.475,1.85,1.175,NA,2.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.555,10.5,2279.91,2424.14,1863.07,356.81,477.4653352243424
60,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.716490384615383,4.62,NA,3.377,NA,NA,NA,10.39,NA,9.94,NA,3.06,2.81,6.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.223184061101335,27.175,NA,2.25,5.62,NA,111.19618406110132,2.35,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,27.175,2.25,684.3081538461538,684.3081538461538,579.1181538461539,105.19,36.223184061101335
61,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,27.110641025641023,9.92,NA,2.233,NA,NA,4.04,12.23,NA,NA,21.46,3.06,4.04,6.33,NA,NA,NA,47.69,NA,152.54,NA,NA,NA,NA,NA,NA,NA,NA,43.582042319519694,77.125,NA,43.095,439.27,60.55,942.1590423195197,NA,3.75,NA,1.64,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41,77.125,43.095,477.31815384615385,477.31815384615385,442.69815384615384,34.62,43.582042319519694
62,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.054615384615385,7.15,NA,13.68,NA,NA,NA,8.77,NA,23.49,NA,3.06,0.58,5.4,NA,NA,3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.88124958292919,50.45,NA,1.225,10.66,28.09,281.7912495829292,NA,1.5,NA,0.55,NA,NA,2.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.45,1.225,312.9181538461538,312.9181538461538,303.9181538461538,9,62.88124958292919
63,3,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9655,NA,NA,19.62,24.69,NA,27.46,NA,3.06,3.17,4.81,NA,NA,NA,NA,NA,456.16,NA,27.69,NA,NA,NA,NA,NA,NA,27.81165384615385,184.33,NA,51.95,85.455,74.48,1274.2161538461537,1.495,0.575,1.63,2.535,32.865,NA,NA,1.325,NA,NA,NA,NA,1.5,NA,NA,NA,184.33,51.95,1095.832,1095.832,930.252,154.04,27.81165384615385
64,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,13.432067307692307,NA,3.1626923076923075,3.3825,NA,NA,6.46,NA,NA,NA,8.08,3.06,5.48,5.96,7.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.46,141.66,66.83104881848446,59.47,NA,NA,80.35,11.32,335.8735488184845,4,NA,0.675,0.39,NA,0.695,NA,3.125,NA,NA,NA,8.875,NA,NA,NA,NA,59.47,NA,541.24,541.24,466.5,43.8,66.83104881848446
65,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.60144230769231,2.31,NA,1.76,NA,NA,NA,NA,NA,NA,14.28,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4908869,48.415,NA,NA,NA,7.725,130.6108869,NA,NA,NA,2.19,NA,0.825,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,48.415,NA,233.34815384615385,233.34815384615385,233.34815384615385,NA,9.4908869
66,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,38.70995192307692,6.23,NA,3.9765,NA,NA,6.23,13.15,NA,NA,23.77,3.06,2.62,14.94,NA,7.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.91914157270126,71.865,NA,9.75,18.835,7.625,371.92264157270125,NA,1.75,NA,3.5,15.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.865,9.75,369.31815384615385,369.31815384615385,354.08815384615383,15.23,91.91914157270126
67,5,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,123.01,NA,28.235961538461535,3.92,NA,NA,NA,NA,9.23,NA,NA,NA,39.23,3.06,6.92,9.23,8.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.22735777255863,64.355,NA,NA,78.47,12.78,427.2173577725586,NA,NA,0.745,0.445,NA,NA,NA,1,NA,NA,NA,1.845,NA,NA,NA,NA,64.355,NA,823.552,823.552,744.762,28.25,154.22735777255863
68,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,24.248942307692307,6.23,NA,1.8535,NA,NA,3.46,11.08,NA,NA,20.03,3.06,3.17,4.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.072897089840005,9.595,NA,NA,19.925,5.895,110.76439708984,NA,1.995,NA,NA,17.615,4.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.595,NA,193.042,193.042,190.212,2.83,35.072897089840005
69,2,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,32.83394230769231,NA,5.798269230769231,2.959,NA,NA,NA,17.74,12.69,13.85,NA,3.06,0.58,4.52,NA,NA,NA,NA,NA,69.23,NA,NA,NA,NA,NA,12.69,164.46,141.66,53.697597649063574,23.47,NA,29.37,47.935,26.5,317.9335976490636,0.1,NA,NA,NA,36.625,NA,NA,5.495,NA,NA,1.7,NA,NA,NA,NA,NA,23.47,29.37,361.56,361.56,361.56,NA,53.697597649063574
70,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,25.67807692307692,4.85,NA,2.222,NA,NA,NA,14.77,NA,NA,23.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.982,79.415,NA,NA,NA,17.005,228.785,NA,4,1.325,3.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.415,NA,298.0212307692308,298.0212307692308,298.0212307692308,NA,26.982
71,4,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,156.94,NA,33.32605769230769,8.5,NA,NA,NA,NA,7.61,NA,13.39,77.78,NA,3.06,2.98,11.54,6.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.39,NA,NA,206.7990592573704,25.155,NA,NA,97.4,2.37,462.4040592573704,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25,25.155,NA,1171.94,1171.94,955.22,120.71,206.7990592573704
72,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,42.225544871794874,10.15,NA,4.0205,NA,NA,15.47,25.39,NA,NA,43.85,3.06,8.26,16.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.55247656946408,218.28,NA,2.125,57.97,36.27,554.7719765694641,NA,8.985,0.845,1.425,54.12,8.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215.81,2.125,831.63,831.63,716.24,59.08,110.55247656946408
73,2,2,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.784,NA,NA,17.77,12,NA,NA,NA,3.06,4.04,18.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.709019215384615,76.78,NA,NA,154.05,7.175,387.10501921538463,NA,0.925,0.71,NA,NA,NA,NA,1.87,NA,NA,NA,NA,NA,NA,NA,NA,76.78,NA,503.57,795.57,733.26,33.46,58.709019215384615
74,2,2,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.85,NA,NA,NA,NA,3.06,NA,NA,6.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.97,NA,NA,31,40.445,235.87,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.995,23,NA,NA,NA,82.97,NA,337.352,337.352,337.352,NA,NA
75,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,190.4,NA,26.15403846153846,5.37,NA,NA,NA,NA,3.97,NA,NA,NA,25.66,3.06,3.33,5.52,3.44,NA,NA,NA,NA,26.92,NA,NA,16.38,NA,NA,NA,NA,NA,222.66809236962436,32.6,NA,24.995,46.68,0.87,499.1930923696243,NA,1.25,NA,0.495,NA,NA,NA,4.955,NA,NA,NA,NA,NA,NA,NA,NA,32.6,24.995,700.8,700.8,686.95,13.85,222.66809236962436
76,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,31.16717948717949,4.85,NA,NA,NA,NA,NA,6.69,NA,NA,23.08,3.06,8.84,12,NA,NA,NA,NA,NA,871.23,NA,NA,NA,NA,NA,NA,NA,NA,38.59862562869851,46.15,NA,NA,43.41,10.93,1114.1286256286985,2.225,NA,2,NA,14.94,1.3,3.995,14.985,NA,NA,NA,NA,NA,NA,NA,NA,46.15,NA,475.39323076923074,475.39323076923074,465.9932307692307,9.4,38.59862562869851
77,2,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,61.597596153846155,7.48,NA,3.3605,NA,NA,NA,13.62,NA,41.54,NA,3.06,32.38,20.66,NA,5.77,9.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.79597261570854,215.645,NA,135.045,1034.1,155.4,2391.1354726157083,2.22,NA,2.085,NA,89.655,NA,NA,66.295,NA,NA,NA,NA,NA,NA,NA,NA,215.645,135.045,394.55,394.55,321.28,73.27,161.79597261570854
78,1,3,NA,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,22.658461538461538,NA,NA,NA,NA,NA,2.31,NA,NA,NA,NA,3.06,0.58,6.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.793305161887141,2.625,12.65,NA,NA,NA,34.49830516188714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.625,NA,NA,NA,NA,NA,4.793305161887141
79,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,33.33871794871795,10.98,NA,7.722,NA,NA,11.54,17.31,NA,NA,60.24,3.06,9.1,8.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.8342544881068,77.69,NA,NA,55.815,29.85,583.8192369482961,NA,NA,NA,1.79,33.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.36,77.69,NA,913.95,913.95,819.56,51.98,195.8342544881068
80,3,3,3,NA,3,NA,1,NA,NA,NA,NA,NA,122.23,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,3.06,NA,NA,9.92,NA,NA,NA,NA,NA,NA,12.78,NA,NA,NA,NA,NA,NA,122.23,114.645,13.895,52.96,20.78,3,431.395,NA,NA,1.25,1.45,NA,NA,NA,5.15,NA,NA,NA,NA,NA,NA,NA,NA,114.645,52.96,937,957.19,828.9182,80.9118,122.23
81,1,3,2,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,24.625456730769233,NA,5.798269230769231,NA,NA,NA,1.61,9.23,5.92,9,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,9.69,NA,NA,NA,5.92,164.46,141.66,184.98548051320623,116.285,NA,1.15,41.24,5.79,450.51048051320623,NA,NA,NA,3,NA,2.075,NA,NA,NA,NA,31.55,NA,NA,NA,NA,NA,116.285,1.15,884.61,884.61,666.75,140.78,184.98548051320623
82,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,19.919206730769233,1.81,NA,NA,NA,NA,NA,13.54,NA,NA,27.57,3.06,NA,NA,NA,NA,16.77,NA,NA,61.54,NA,NA,NA,NA,NA,NA,NA,NA,4.042758620689655,18.85413793103448,12.7,NA,3.5,29.09758620689655,164.9808620689655,NA,NA,NA,2.87,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,2.2327586206896552,18.85413793103448,NA,307.562,307.562,307.562,NA,4.042758620689655
83,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,37.37019230769231,9.29,NA,1.7985,NA,NA,2.95,4.62,NA,NA,31.16,NA,6.24,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.29688748870444,74.245,NA,6.935,2.35,29.815,336.0883874887044,NA,0.75,0.925,2.5,NA,NA,NA,2.625,NA,NA,NA,0.5,1.29,NA,NA,NA,74.245,6.935,535.6332307692307,535.6332307692307,512.6932307692307,22.94,104.29688748870444
84,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,30.412532051282053,10.15,NA,2.937,NA,NA,18.67,8.54,NA,NA,36.29,3.06,0.58,11.59,NA,NA,76.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4245871820378,125.3,NA,NA,46.065,93.37,398.6625871820378,1.595,NA,NA,2.675,22.305,5.5,NA,NA,NA,NA,NA,0.65,NA,NA,NA,NA,125.3,NA,584.244,584.244,556.934,27.31,44.4245871820378
85,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,18.93216346153846,3.23,NA,3.234,NA,NA,1.73,7.89,NA,NA,70.39,3.06,0.38,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.589673837258736,23.68,NA,NA,37.56,16.09,261.4956738372587,NA,0.475,NA,0.85,NA,NA,NA,NA,NA,NA,NA,7.85,NA,NA,NA,NA,23.68,NA,277.93815384615385,277.93815384615385,267.30815384615386,10.63,25.589673837258736
86,1,3,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,23.933461538461536,3.46,NA,2.0955,NA,NA,2.77,20.86,NA,NA,46,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.714609773712084,29.145,22.24,42.79,NA,22.965,228.5041097737121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,1.995,NA,NA,NA,29.145,42.79,229.07815384615384,229.07815384615384,229.07815384615384,NA,28.714609773712084
87,6,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,173.09,NA,30.51304487179487,23.77,NA,NA,NA,NA,46.39,NA,31.52,69.47,NA,3.06,2.51,12.4,4.62,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,31.52,NA,NA,229.0388737248818,178.27,NA,6.945,17.075,34.655,980.1438737248818,0.995,NA,2.925,5.055,NA,2.495,NA,1.875,NA,NA,NA,15.035,4.875,NA,NA,1.745,178.27,6.945,733.152,733.152,733.152,NA,229.0388737248818
88,3,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,38.09682692307692,6.81,NA,3.025,NA,NA,6,9.69,NA,NA,31.85,3.06,6.15,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.10600077966621,85.15,NA,NA,36.39,54.48,370.62600077966624,NA,NA,NA,2.5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.15,NA,1121.21,1121.21,1016.84,70.89,55.10600077966621
89,1,2,NA,NA,3,1,NA,NA,NA,NA,NA,NA,126.93,NA,20.170961538461537,10.69,NA,NA,NA,NA,8.92,NA,NA,NA,NA,NA,0.58,4.62,NA,NA,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.5954028111073,40.915,7.5,16.59,32.855,8.54,704.9854028111073,3.73,NA,2.39,NA,32.855,2.505,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,40.915,16.59,515.65,515.65,417.72,54.78,158.5954028111073
90,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,32.83394230769231,NA,5.798269230769231,2.9205,NA,NA,12.69,18.92,NA,NA,46.16,3.06,3.93,7.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.46,141.66,56.191941770280955,41.97,NA,5.5,468.445,3.54,807.7964417702809,2.025,NA,NA,0.645,55.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.97,5.5,1904.88,1904.88,1674.31,176.1,56.191941770280955
91,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,20.14810096153846,NA,4.744038461538461,NA,NA,NA,NA,6,NA,43.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.46,141.66,58.333390053460406,33.26,NA,10.195,NA,13.935,298.6733900534604,1.4,NA,NA,2,NA,NA,NA,5.87,NA,NA,NA,NA,NA,NA,NA,NA,33.26,10.195,249.79123076923076,249.79123076923076,248.64123076923076,1.15,58.333390053460406
92,2,3,3,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,28.23019230769231,6.46,NA,3.047,NA,NA,15.93,10.85,NA,NA,NA,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,58.472777934971255,97.065,NA,16.3,20.1,14.635,316.52577793497125,NA,0.995,0.85,0.675,20.1,1.875,NA,1.875,NA,NA,NA,NA,NA,NA,NA,NA,97.065,16.3,1108.15,1108.15,948.83,130.85,58.472777934971255
93,2,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.584,NA,NA,22.84,NA,NA,55.85,NA,3.06,4.62,4.62,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.04553846153846,117.24,NA,2.755,190.815,35.455,544.0015384615385,NA,2.745,2.05,NA,NA,2.8,NA,1,NA,NA,NA,13.43,NA,NA,NA,NA,117.24,2.755,861.16,861.16,846.16,12.5,40.04553846153846
94,3,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,36.18,NA,6.8525,1.265,NA,NA,NA,7.04,NA,NA,12.23,3.06,3.91,11.88,NA,NA,69.62,NA,NA,NA,NA,NA,2.31,NA,NA,NA,164.46,141.66,124.67197912402784,194.2,52.2,46.625,227.44080847812592,101.345,889.6177876021537,1.79,2.245,NA,1.69,NA,3.395,2.25,1.995,NA,NA,17.1,NA,NA,NA,NA,59.495,194.2,46.625,695.88,695.88,639.98,45.69,124.67197912402784
95,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,51.85583333333334,8.77,NA,2.706,NA,NA,NA,42.23,NA,NA,82.85,3.06,2.98,25.67,14.77,NA,NA,NA,NA,923.08,NA,NA,NA,NA,NA,NA,NA,NA,122.23766756494943,124.09,47.48,79.715,172.35,435.1,2127.0916675649496,NA,NA,3.75,NA,35.015,NA,NA,NA,NA,NA,NA,35.145,16,NA,NA,5.18,124.09,79.715,1818.9,1904.34,1359.2332,402.7168,122.23766756494943
96,5,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,36.95855769230769,15.41,NA,3.564,NA,13.62,NA,NA,NA,NA,66.93,3.06,11.64,35.27,6.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.0969793920538,249.8,NA,109.355,100.86,71.135,1156.3229793920539,NA,NA,6.095,3.4,74.26,2.725,NA,1.125,NA,NA,NA,0.645,NA,NA,NA,NA,249.8,109.355,1797.19,1797.19,1710.64,46.16,57.0969793920538
97,1,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,20.45716346153846,15.88,NA,1.7985,NA,NA,17.31,15,NA,1.02,NA,3.06,10.62,10,NA,4.06,61.54,NA,NA,NA,NA,NA,9.23,NA,NA,NA,NA,NA,83.8653824538868,108.07,NA,NA,95.38,61.54,497.1268824538868,NA,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.07,NA,842.49,842.49,668.27,102.15,83.8653824538868
98,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,53.87596153846154,6.92,NA,7.6175,NA,NA,20.08,32.31,NA,NA,51.23,3.06,NA,NA,NA,46.15,42.31,NA,NA,NA,NA,NA,36.92,NA,NA,NA,NA,NA,77.43551563650072,112.02,NA,114.88,86.02,63.95,910.2280156365008,NA,NA,NA,0.46,NA,1.77,NA,57.995,NA,NA,49.1,NA,10.96,NA,NA,11.135,112.02,114.88,2667,2519.048,2003.51,630.05,77.43551563650072
99,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,23.5396875,11.08,NA,5.335,NA,NA,3.46,11.08,NA,NA,35.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.297222606144288,70.575,NA,NA,28.84837295176552,11.285,199.3205955579098,4.24,NA,NA,0.745,NA,NA,NA,NA,NA,NA,NA,0.645,NA,NA,NA,8,70.575,NA,477.46323076923073,477.46323076923073,438.96323076923073,38.5,30.297222606144288
100,3,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,34.03435897435897,8.77,NA,3.1735,NA,NA,8.31,15,NA,NA,32.54,3.06,1.54,6.69,NA,1.38,230.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.90050968861053,50.35,NA,2.25,84.60628548349874,239.735,592.9682951721093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845,NA,NA,NA,NA,50.35,2.25,1205.73,1205.73,970.8,129.34,92.90050968861053
101,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,28.565192307692307,6.03,NA,1.903,NA,NA,8.65,NA,NA,NA,20.77,3.06,NA,NA,7.9,NA,23.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.2068539448064,52.29,NA,NA,28.56,183.3000888529887,469.0489427977951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,52.29,NA,1020.24,1020.24,802.4,123.75,105.2068539448064
102,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,265.41,NA,33.40615384615385,6.15,NA,NA,NA,NA,NA,13.85,NA,NA,27.23,3.06,0.58,20.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305.0016661105722,128.66,NA,1.3,92.4,19.46,866.9048348158573,8.75,NA,0.795,2.11,NA,NA,NA,48.83,NA,NA,NA,NA,NA,NA,NA,NA,128.66,1.3,1417.02,1418.94,1208.5976,119.0424,305.0016661105722
103,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,25.04769230769231,NA,4.744038461538461,0.847,NA,NA,6.23,5.08,NA,NA,20.77,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292.31,NA,NA,NA,164.46,141.66,108.08877149140439,71.07,NA,NA,384.31,6.115,420.68994942816875,NA,NA,3,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.07,NA,1427.542,1466.002,1182.3808,171.3712,108.08877149140439
104,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,398.11,NA,29.1028125,NA,6.8525,NA,NA,NA,NA,NA,NA,NA,95.55,NA,NA,NA,6.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.46,141.66,451.01404184406334,138.485,NA,24.15,18.3,8.125,795.4490418440633,4.5,NA,NA,6.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.485,24.15,1196.91,1206.53,994.5436,117.5964,451.01404184406334
